"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","51.7400016784668","","","","","","","","","","","","51.0200004577637","","","","","","","","","56.8400001525879","","","","","","","","","","61.6699981689453","","","","","","","","","63.5","","","","","","","66.1999969482422","","","63.9099998474121","63.7999992370605","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","24.6000003814697","49.9000015258789","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.2700004577637","","","","46.9599990844727","","51.7299995422363","","","47.310001373291","","","41.5800018310547","49.810001373291",
"Africa Western and Central","AFW","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.8790714306624","","","","",
"Angola","AGO","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","48.8199996948242","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.25","","","","","67.0199966430664","77.2600021362305","77.3199996948242","","","43.560001373291","","","","","","","",
"Albania","ALB","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","44.9300003051758","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.3199996948242","48.0699996948242","47.3600006103516","46.689998626709","42.5099983215332","","40.2900009155273","38.810001373291","58.4000015258789","58.4000015258789","57.2000007629395","55.5999984741211","","59.6100006103516","35","34.7900009155273","34.5","34.4500007629395","48.7299995422363","53.189998626709","54.9900016784668","55.2000007629395","59.939998626709","56.9900016784668","52.4199981689453","53.4199981689453","55.5","57.310001373291","58.060001373291","59.2999992370605","60.310001373291","","",
"Andorra","AND","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.4500007629395","59.4599990844727","56.689998626709","","","","","","","","","","","","","",
"Arab World","ARB","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.6390486663457","48.0563952787316","45.9558588062142","","48.2275622303216","47.2363072566455","","46.0225416549699","","49.3811030001941","46.5396577162123","","","","",
"United Arab Emirates","ARE","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","73.3099975585938","","","","","75.25","","","","","","","","","","","","","","","75.1999969482422","","","","","","","","","","77.5","","","72.5599975585938","72.370002746582","","","","","","","80.5699996948242","80.7699966430664","81.0100021362305","80.1999969482422","80.3499984741211","",
"Argentina","ARG","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","53.6300010681152","","","","","","","","","","53.3600006103516","","","","","","","53.4000015258789","53.3699989318848","53.310001373291","51.2000007629395","","","53.7400016784668","","53.3800010681152","","53.3600006103516","","53.4199981689453","53.3800010681152","56.689998626709","50.2999992370605","51.7999992370605","51.2999992370605","58.189998626709","59.5","59.5","59.9000015258789","60.4000015258789","57.7200012207031","56.7999992370605","57.9000015258789","60.25","61.939998626709","61.5099983215332","61.7999992370605","61","60.4300003051758","60.7799987792969","60.189998626709","60.6500015258789","60.3600006103516","59.9599990844727","59.439998626709","","","58.810001373291","59.5999984741211","60.2900009155273","56.0200004577637","60.3600006103516",
"Armenia","ARM","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.5200004577637","","","38.060001373291","","","","","","","52.939998626709","55.8899993896484","59.2000007629395","61.2000007629395","59.3899993896484","54.1100006103516","59.4199981689453","63.0200004577637","62.2900009155273","60.7200012207031","60.8199996948242","69.0800018310547","70.9000015258789","66.4800033569336","",
"American Samoa","ASM","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","55.1199989318848","","","","","","","","","","19.9300003051758","","","","53.1699981689453","","","","","","43.6300010681152","","","","","","","","","","50.7200012207031","","","","","","","","","","53.0299987792969","","","","","59.9300003051758","","","","","52.6399993896484","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","33.689998626709","","","","","","","","","","63.4900016784668","","","","","","","","","","","","","","","","","","","","","69.4599990844727","","","","","","","","","","71.75","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","57.4300003051758","","","","","59.5299987792969","","","","","58.6699981689453","","","","","61.4199981689453","","","60.7599983215332","61.2999992370605","61.1399993896484","60.7799987792969","60.439998626709","60.5499992370605","60.810001373291","61.8899993896484","61.9599990844727","62.3800010681152","63.1599998474121","63.75","63.1399993896484","62.8600006103516","62.4500007629395","62.9300003051758","63.5400009155273","63.5200004577637","63.1199989318848","63","62.7599983215332","63.1399993896484","63.2999992370605","63.3600006103516","63.5900001525879","63.4599990844727","64.4000015258789","64.7600021362305","65.1800003051758","65.4800033569336","65.4300003051758","65.3899993896484","65.4199981689453","65.1500015258789","64.9400024414063","64.6999969482422","65","64.870002746582","65.1699981689453","65.629997253418","65.9499969482422","65.0299987792969","65.8499984741211",
"Austria","AUT","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","60.7299995422363","","","","","","","","","","55.2700004577637","","","","","","","","","52.060001373291","56.439998626709","54.3199996948242","53.9000015258789","54.689998626709","54.2900009155273","54.5699996948242","55","54.7799987792969","54.8899993896484","55.439998626709","55.8400001525879","56.5800018310547","56.689998626709","59.060001373291","59.4199981689453","58.8199996948242","58.4099998474121","58.8199996948242","58.9700012207031","58.6800003051758","58.2400016784668","58.9300003051758","59.1500015258789","57.2599983215332","58.560001373291","59.0800018310547","59.939998626709","60.1699981689453","60.439998626709","60.4000015258789","60.4900016784668","60.7599983215332","60.9199981689453","60.689998626709","60.7200012207031","61.2099990844727","61.2099990844727","61.3699989318848","61.3600006103516","60.7700004577637","61.1599998474121",
"Azerbaijan","AZE","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.7200012207031","","","","62.4799995422363","","","47.6800003051758","47.3899993896484","47.0999984741211","64.6600036621094","77.5999984741211","75.5","73.5999984741211","71.6999969482422","69.9000015258789","68.4000015258789","67.0999984741211","67.0199966430664","66.3099975585938","65.0500030517578","64.8099975585938","64.4100036621094","64.5","64.6999969482422","65.0999984741211","65.4000015258789","66","66.1999969482422","66.3000030517578","66.5","66.8000030517578","",
"Burundi","BDI","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","46.7700004577637","92.8499984741211","46.1199989318848","","61.0999984741211","","60.8800010681152","","87.1100006103516","","","","90.3199996948242","","","","","","","","85.3899993896484","","","","","","","","","","69.9899978637695","","","","","","78.9400024414063","","","","","","","",
"Belgium","BEL","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","49.8800010681152","","","","","","","","","49.1599998474121","","","","","","","41.2299995422363","","42.0400009155273","42.1100006103516","40.0400009155273","","50.6800003051758","49.7400016784668","49.9500007629395","49.8699989318848","49.1100006103516","48.6399993896484","48.4000015258789","48.3400001525879","49.2700004577637","49.6300010681152","49.7299995422363","50.3300018310547","50.5299987792969","50.4099998474121","50.5200004577637","50.8499984741211","51.9099998474121","52.2900009155273","50.8899993896484","51.189998626709","51.3499984741211","52.0299987792969","53.2999992370605","53.1100006103516","53.5900001525879","53.6800003051758","53.4700012207031","54.0699996948242","53.2000007629395","53.25","53.560001373291","53.5099983215332","53.310001373291","53.1100006103516","53.8400001525879","54.189998626709","54.3899993896484","53.8199996948242","54.4900016784668",
"Benin","BEN","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","53.2999992370605","","","","","","","","","","","","","","80.5","","47.939998626709","","59.6300010681152","","","","","","","59.8199996948242","","","","","","72.1600036621094","","","","58.8899993896484","","","","","67.6800003051758","71.75","77.3600006103516","","","","","","","75.3099975585938","71.879997253418","","","","","","","62.7400016784668","","","",
"Burkina Faso","BFA","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","45.7999992370605","","","","","","","","","","82.8199996948242","","","","","","83.9300003051758","","","78.6999969482422","","","","","","","","","","","89.0999984741211","72.7099990844727","87.3000030517578","","","","","","","65.620002746582","","","","44.8899993896484","","","",
"Bangladesh","BGD","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","57.1699981689453","","","","","","","","","","","","","48.9700012207031","","","","","","","45.6699981689453","","","49.060001373291","49.2599983215332","50.2799987792969","","","78.620002746582","","75.9000015258789","","","","","72.5599975585938","","","","72.0599975585938","","","57.2999992370605","","","58.0699996948242","","","","58.5800018310547","","","57.1800003051758","","","56.0900001525879","58.3300018310547","","","","",
"Bulgaria","BGR","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","68.0800018310547","","","","","","","","","","65.4199981689453","","","","","","","","","","","","","","","","","57.1699981689453","","","","","51.7999992370605","","","50.1800003051758","51.3699989318848","50.8199996948242","49.9199981689453","50.5499992370605","49.689998626709","51.2900009155273","52.5999984741211","53.810001373291","53.0200004577637","53.3899993896484","52.5099983215332","53.0800018310547","53.9000015258789","54.1399993896484","54.0699996948242","53.3300018310547","55.3499984741211","55.3199996948242","56.5800018310547","55.5499992370605","55.2599983215332",
"Bahrain","BHR","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","29.2399997711182","","","","","","49.8300018310547","","","","","","","","36.9599990844727","","60.5","","","","45.5","","45.8800010681152","","","65.1999969482422","65.2200012207031","65.6999969482422","65.6999969482422","65.6999969482422","65.6999969482422","65.8000030517578","65.8000030517578","65.8000030517578","65.8000030517578","65.9000015258789","65.7099990844727","66.0999984741211","66.1999969482422","63.7000007629395","48.2999992370605","66.5800018310547","","","","72.0599975585938","71.0400009155273","","","","71.5699996948242","","","","","","",
"Bahamas, The","BHS","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","71.5100021362305","","","","","","","72.7300033569336","","","","","","","","","36.7799987792969","67.4700012207031","","","","","","","","","51.1800003051758","71.5999984741211","73.5999984741211","74.3000030517578","75.6999969482422","73.7699966430664","73.9000015258789","73.6999969482422","74.9000015258789","69.7900009155273","76.8000030517578","","76.1999969482422","76.4000015258789","","75.6800003051758","","","","","73.4000015258789","","72.4400024414063","74.5","72.6999969482422","","","","","","","","",
"Bosnia and Herzegovina","BIH","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.5400009155273","","","","","42.6699981689453","43.4199981689453","43.3600006103516","43.1800003051758","44.1599998474121","43.6599998474121","43.7900009155273","43.3300018310547","43.4300003051758","43.8899993896484","43.0499992370605","42.2900009155273","41.9099998474121","41.7999992370605","47.6500015258789","50.8899993896484",
"Belarus","BLR","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","48.689998626709","","","","","","","","","","","","","","","","","","","68.1699981689453","","","","","","","","45.9000015258789","","58.6699981689453","","","","","","","54.8300018310547","55.2400016784668","56.3699989318848","61.4000015258789","","","","","","82.0999984741211","70.8300018310547","71.2600021362305","70.9199981689453","70.6699981689453","70.3000030517578","",
"Belize","BLZ","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","53.3199996948242","","","","","","","","","","27.6200008392334","","","","","","","","","","","","","","","","","","","","","","","","56.0699996948242","","34.0999984741211","58.9000015258789","58.7000007629395","59.2999992370605","","","","","","38.2000007629395","","","","","","","67.4199981689453","62.6300010681152","63.4900016784668","63.4900016784668","64.25","64.0299987792969","","69.7300033569336","","",
"Bermuda","BMU","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","74.2099990844727","","","","","","78.0899963378906","","","","76.9499969482422","","","","","","","","","","","74.8499984741211","","","","","","","","","73.4400024414063","","","","","","","","","82","84","","","","","","","","","","","",
