region,country.code,economy,year,survey.name,survey.year,survey.coverage,datatype,comparability,dep.monetary,edu.attainment,edu.enrollment,infra.electricity,infra.sanitation,infra.drinkWater,dep.mpi
SSA,AGO,Angola,2018,IDREA,2018,N,c,2,49.9,29.8,27.4,52.6,53.6,32.1,58.0
ECA,ALB,Albania,2012,LSMS,2012,N,c,1,0.8,2.3,6.7,0.5,3.0,0.3,1.0
ECA,ALB,Albania,2016,HBS,2016,N,c,2,0.4,0.6,,0.4,7.6,8.4,1.1
ECA,ALB,Albania,2017,HBS,2017,N,c,2,0.4,0.3,,0.1,7.0,9.3,0.7
ECA,ALB,Albania,2018,HBS,2018,N,c,3,0.1,0.2,,0.1,6.6,9.6,0.4
LAC,ARG,Argentina,2012,EPHC-S2,2012,U,i,2,1.2,1.7,0.8,0.0,0.5,0.3,1.2
LAC,ARG,Argentina,2013,EPHC-S2,2013,U,i,2,1.0,1.6,0.9,0.0,0.4,0.3,1.0
LAC,ARG,Argentina,2014,EPHC-S2,2014,U,i,2,0.9,1.4,0.9,0.0,0.4,0.4,1.0
LAC,ARG,Argentina,2016,EPHC-S2,2016,U,i,2,1.1,1.6,1.2,0.0,0.4,0.4,1.1
LAC,ARG,Argentina,2017,EPHC-S2,2017,U,i,2,0.9,1.5,0.7,0.0,0.4,0.4,0.9
LAC,ARG,Argentina,2018,EPHC-S2,2018,U,i,2,1.4,1.3,0.7,0.0,0.5,0.3,1.4
LAC,ARG,Argentina,2019,EPHC-S2,2019,U,i,2,1.3,1.5,0.6,0.0,0.4,0.3,1.3
LAC,ARG,Argentina,2020,EPHC-S2,2020,U,i,2,1.6,1.4,0.7,0.0,0.8,0.1,1.6
ECA,ARM,Armenia,2014,ILCS,2014,N,c,1,1.5,0.0,1.9,0.2,1.2,0.6,1.6
ECA,ARM,Armenia,2015,ILCS,2015,N,c,1,1.3,0.0,2.1,0.4,0.9,1.6,1.3
ECA,ARM,Armenia,2016,ILCS,2016,N,c,1,1.2,0.1,2.2,0.1,7.9,0.4,1.2
ECA,ARM,Armenia,2017,ILCS,2017,N,c,1,0.9,0.1,1.7,0.3,7.3,0.3,0.9
ECA,ARM,Armenia,2018,ILCS,2018,N,c,1,1.4,0.0,1.7,0.1,5.1,0.4,1.4
ECA,ARM,Armenia,2019,ILCS,2019,N,c,2,1.1,0.0,2.0,0.0,2.4,1.1,1.1
ECA,ARM,Armenia,2020,ILCS,2020,N,c,2,0.4,0.1,1.9,0.0,0.8,1.6,0.4
OHI,AUS,Australia,2014,SIH-LIS,2014,N,I,2,0.5,2.1,,0.0,0.0,,2.6
OHI,AUS,Australia,2016,SIH-LIS,2016,N,I,2,0.4,1.6,,0.0,0.0,,2.0
OHI,AUS,Australia,2018,SIH-LIS,2018,N,I,2,0.5,1.7,,0.0,0.0,,2.2
OHI,AUT,Austria,2012,EU-SILC,2013,N,i,2,0.6,0.5,,0.0,1.0,0.2,1.1
OHI,AUT,Austria,2013,EU-SILC,2014,N,i,2,0.3,0.0,,0.0,1.0,0.3,0.3
OHI,AUT,Austria,2014,EU-SILC,2015,N,i,2,0.2,0.0,,0.0,1.0,0.5,0.2
OHI,AUT,Austria,2015,EU-SILC,2016,N,i,2,0.7,0.0,,0.0,0.9,0.2,0.7
OHI,AUT,Austria,2016,EU-SILC,2017,N,i,2,0.7,0.0,,0.0,0.6,0.3,0.7
OHI,AUT,Austria,2017,EU-SILC,2018,N,i,2,0.3,0.0,,0.0,0.7,0.5,0.3
OHI,AUT,Austria,2018,EU-SILC,2019,N,i,2,0.6,0.0,,0.0,0.5,0.2,0.6
OHI,AUT,Austria,2019,EU-SILC,2020,N,i,2,0.7,0.0,,0.0,0.8,0.7,0.7
SSA,BDI,Burundi,2013,ECVMB,2013,N,c,1,72.8,66.3,18.9,91.8,94.3,20.6,87.1
OHI,BEL,Belgium,2012,EU-SILC,2013,N,i,2,0.2,0.9,,0.0,2.0,0.7,1.1
OHI,BEL,Belgium,2013,EU-SILC,2014,N,i,2,0.2,1.4,,0.0,2.1,0.7,1.6
OHI,BEL,Belgium,2014,EU-SILC,2015,N,i,2,0.2,0.9,,0.0,2.3,0.7,1.2
OHI,BEL,Belgium,2015,EU-SILC,2016,N,i,2,0.3,1.9,,0.0,1.7,0.5,2.1
OHI,BEL,Belgium,2016,EU-SILC,2017,N,i,2,0.3,1.9,,0.0,1.1,0.4,2.2
